#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
1.0,8,3.943294
-1.0,6,3.946148
-1.0,18,3.95473
0.0,9,3.959024
-1.0,23,3.969827
-1.0,12,3.975503
0.0,15,3.98263
0.0,13,3.988755
-1.0,13,3.994963
-1.0,5,3.997351
-1.0,10,4.002061
-1.0,41,4.021551
-1.0,5,4.023964
0.0,11,4.029307
0.0,2,4.030295
0.0,14,4.037068
-1.0,3,4.038558
-1.0,6,4.041429
-1.0,3,4.042908
0.0,6,4.045854
0.0,22,4.056395
-1.0,26,4.068799
-1.0,8,4.072596
-1.0,14,4.079303
-1.0,13,4.08539
-1.0,10,4.090129
-1.0,9,4.094503
0.0,12,4.100139
-1.0,11,4.105504
-1.0,28,4.118557
-1.0,19,4.127591
-1.0,23,4.13833
0.0,3,4.139796
-1.0,5,4.142205
-1.0,11,4.147516
1.0,14,4.154102
-1.0,12,4.15984
-1.0,6,4.16278
-1.0,25,4.174738
-1.0,7,4.178183
-1.0,33,4.194005
-1.0,6,4.19689
0.0,16,4.204444
0.0,7,4.207948
0.0,5,4.210349
-1.0,6,4.214284
0.0,4,4.216222
-1.0,13,4.222581
-1.0,8,4.226338
-1.0,10,4.231177
0.0,7,4.23455
-1.0,9,4.238811
-1.0,7,4.242165
-1.0,18,4.250814
1.0,10,4.255816
-1.0,6,4.258687
0.0,19,4.268057
-1.0,6,4.271031
0.0,2,4.272052
-1.0,14,4.278626
-1.0,17,4.286494
-1.0,4,4.288435
0.0,17,4.296563
-1.0,7,4.299968
-1.0,6,4.302953
-1.0,24,4.314213
-1.0,14,4.321148
-1.0,4,4.323098
-1.0,7,4.326562
0.0,15,4.333642
0.0,6,4.336794
-1.0,21,4.348039
-1.0,3,4.349514
-1.0,4,4.351461
0.0,13,4.358038
-1.0,5,4.36056
0.0,13,4.367537
-1.0,13,4.374092
-1.0,9,4.378419
0.0,3,4.380664
0.0,12,4.386324
0.0,2,4.387353
-1.0,26,4.401904
1.0,11,4.407506
-1.0,9,4.412065
0.0,6,4.415896
0.0,7,4.419383
-1.0,14,4.426203
-1.0,18,4.435667
1.0,15,4.442916
-1.0,15,4.450993
0.0,5,4.890116
0.0,9,4.894482
0.0,19,4.90427
0.0,17,4.912642
